time stamp,deltatime,stepcount_currentEP,totalstepcount,completedEpisodes,cumaltiveRewardInCurrentEP,wheelAction1,wheelAction2,wheelAction3,wheelAction4,wheeltorque1,wheeltorque2,wheeltorque3,wheeltorque4,legAction1,legAction2,legAction3,legAction4,legRotate1,legRotate2,legRotate3,legRotate4,velcoityToGoal,vehicleVelocity_x,vehicleVelocity_y,vehicleVelocity_z,goalVelocity_x,goalVelocity_y,goalVelocity_z,vehicleRotation_x,vehicleRotation_y,vehicleRotation_z,vehicleRotation_w,TargetRealtivePosition_x,TargetRealtivePosition_y,TargetRealtivePosition_z,legRotation_1,legRotation_2,legRotation_3,legRotation_4,
2021-03-19T18:06:53.0654623+02:00,150.2866,1,1,0,0,0,0,1,1,0,0,-100,0,2,2,0,2,1,1,0,1,1,0,0,0,-2.980232E-08,0,1,0,-0.3826835,0,0.9238795,9.536743E-07,-0.1,14.14214,232.9405,92.24866,140.5322,315.5341,
2021-03-19T18:06:53.0659827+02:00,633.047,6,6,0,0,0,1,0,0,0,-100,0,-100,0,2,2,1,0,1,1,-1,1.174317,1.932117E-08,-0.6156464,1.962527E-08,0,0,1,-2.953666E-08,-0.3826834,-4.678863E-08,0.9238796,1.430511E-06,-0.07505073,14.14214,227.9405,87.24868,145.5322,315.5341,
2021-03-19T18:06:53.0659827+02:00,28.7686,11,11,0,0,0,1,2,2,0,-100,100,-100,2,1,0,1,1,-1,0,-1,1.45206,0.004896428,-1.004412,-0.04862272,-5.960464E-08,9.313226E-10,1,-0.008912574,-0.3804216,-0.007768921,0.9247376,0.02921915,-0.04867166,14.14415,222.9405,92.24871,145.5322,320.5341,
2021-03-19T18:06:53.0664790+02:00,72.9112,16,16,0,0,2,0,2,2,100,0,100,0,0,2,2,2,0,1,1,1,1.74411,0.09976044,-1.38434,-0.05620556,-8.940697E-08,3.72529E-09,1,-0.0324433,-0.3728561,-0.03053423,0.926819,0.03322124,0.00529784,14.14713,227.9405,97.24874,150.5322,320.5341,
2021-03-19T18:06:53.0669771+02:00,30.2565,21,21,0,0,2,0,2,2,100,0,100,0,0,1,2,2,0,-1,1,1,2.042924,0.2007469,-1.735116,-0.05953195,0,5.215406E-08,0.9999999,-0.06474213,-0.3572854,-0.06229802,0.9296637,0.02923441,0.08297491,14.15072,222.9405,92.24876,150.5322,325.5341,
2021-03-19T18:06:53.0674721+02:00,59.5466,26,26,0,0,0,2,1,1,0,100,-100,100,1,2,1,1,-1,1,-1,-1,1.178137,0.01138776,-0.01224587,-0.178018,-8.940697E-08,-1.490116E-08,1,-0.06861215,-0.3534452,-0.0684227,0.9304231,0.01897287,0.1902288,14.16066,227.9405,87.24878,150.5322,330.5341,
2021-03-19T18:06:53.0674721+02:00,57.5104,31,31,0,0,1,1,0,1,-100,-100,0,-100,0,2,0,1,0,1,0,-1,1.111133,-0.008150689,-0.2970109,-0.07066973,-1.490116E-07,4.470348E-08,1,-0.06875184,-0.350695,-0.07093995,0.9312646,0.02098274,0.2693341,14.16659,222.9405,92.24878,145.5322,325.5341,
2021-03-19T18:06:53.0679665+02:00,58.5537,36,36,0,0,2,0,0,1,100,0,0,0,2,2,0,2,1,1,0,1,1.081185,0.01984094,-0.01831958,-0.08084814,2.980232E-08,0,1,-0.07120735,-0.3465862,-0.07044141,0.9326551,0.01236248,0.188871,14.17315,217.9405,97.24881,145.5322,325.5341,
2021-03-19T18:06:53.0684641+02:00,85.2838,41,41,0,0,0,1,1,1,0,-100,-100,-100,2,2,2,0,1,1,1,0,1.125088,-0.03212292,-0.01224996,-0.1245626,-5.960464E-08,-1.490116E-08,1,-0.06728682,-0.3465746,-0.06647854,0.9332412,-0.008841991,0.1956197,14.17985,212.9405,92.2488,150.5322,325.5341,
2021-03-19T18:06:53.0689594+02:00,56.0487,46,46,0,0,0,0,1,2,0,0,-100,0,1,2,2,0,-1,1,1,0,1.070753,-0.007989373,-0.002646066,-0.07072005,-1.788139E-07,1.490116E-08,1,-0.06830129,-0.34603,-0.06825238,0.9332415,0.01451778,0.2038038,14.18561,207.9405,92.24884,155.5322,330.5341,
2021-03-19T18:06:53.0689594+02:00,57.0401,51,51,0,0,1,1,0,1,-100,-100,0,-100,1,1,1,0,-1,-1,-1,0,0.986164,0.0001869565,-0.001773954,0.01383757,2.980232E-08,0,0.9999999,-0.07216256,-0.3415471,-0.07232085,0.9342954,-0.001577854,0.2052407,14.18777,202.9404,92.24886,150.5322,335.5341,
2021-03-19T18:06:53.0694544+02:00,82.3678,56,56,0,0,1,1,1,1,-100,-100,-100,-100,0,0,1,1,0,0,-1,-1,1.003687,-0.06871028,-0.09708615,0.003385762,2.980232E-08,-1.490116E-08,0.9999999,-0.0687162,-0.3427708,-0.068808,0.9343724,-0.0006833076,0.210454,14.18851,207.9404,92.24889,145.5322,330.5341,
2021-03-19T18:06:53.0699511+02:00,56.5359,61,61,0,0,1,1,1,0,-100,-100,-100,-100,0,2,1,1,0,1,-1,-1,1.075772,-0.09650724,-0.177522,-0.05662541,5.960464E-08,-1.490116E-08,1,-0.06422681,-0.3439454,-0.06318401,0.9346573,0.002175331,0.1889944,14.19068,207.9404,97.24891,145.5322,325.5341,
2021-03-19T18:06:53.0704473+02:00,56.5201,66,66,0,0,1,1,0,0,-100,-100,0,-100,0,2,1,1,0,1,-1,-1,1.138837,-0.03056701,-0.1312364,-0.1308368,-8.940697E-08,7.450581E-09,1,-0.05841131,-0.3445823,-0.05527451,0.9353052,-0.007820606,0.138201,14.1971,202.9404,102.2489,145.5322,320.5341,
2021-03-19T18:06:53.0709184+02:00,82.3597,71,71,0,0,0,2,2,1,0,100,100,100,2,2,2,1,1,1,1,-1,1.094601,-0.06639849,-0.1596505,-0.0808579,-5.960464E-08,-1.490116E-08,1,-0.04666148,-0.3449355,-0.04590058,0.9363415,0.01658916,0.2153212,14.20303,197.9404,107.2489,145.5322,315.5341,
2021-03-19T18:06:53.0709184+02:00,57.0421,76,76,0,0,2,1,1,0,100,-100,-100,-100,0,0,0,0,0,0,0,0,1.093117,0.01924446,-0.03907614,-0.09224886,-1.192093E-07,-2.235174E-08,1,-0.04708276,-0.343381,-0.04486992,0.9369416,-0.002997398,0.1708131,14.20805,192.9404,112.2489,150.5322,320.5341,
2021-03-19T18:06:53.0714384+02:00,56.0568,81,81,0,0,0,0,0,2,0,0,0,0,1,2,2,0,-1,1,1,0,1.065713,-0.002823379,-0.05190791,-0.06444442,-8.940697E-08,1.490116E-08,1,-0.04069152,-0.3435338,-0.03939687,0.9374309,0.0001597404,0.2006762,14.2129,192.9404,112.249,150.5322,320.534,
2021-03-19T18:06:53.0719348+02:00,81.8354,86,86,0,0,2,1,2,0,100,-100,100,-100,0,0,1,0,0,0,-1,0,0.9768085,-0.003516594,0.008197536,0.02323223,-2.980232E-08,2.235174E-08,0.9999999,-0.0416644,-0.3427108,-0.04189532,0.937581,-0.002070904,0.237468,14.21324,187.9404,112.249,145.5322,325.534,
2021-03-19T18:06:53.0724384+02:00,57.5412,91,91,0,0,0,1,1,0,0,-100,-100,-100,0,1,0,0,0,-1,0,0,0.9573044,-0.07060325,-0.07125708,0.04796564,2.980232E-08,4.470348E-08,0.9999999,-0.04177753,-0.3420764,-0.04290391,0.937762,0.002534866,0.2665943,14.21078,187.9404,112.2489,145.5322,320.5341,
2021-03-19T18:06:53.0724384+02:00,82.7967,96,96,0,0,1,1,0,1,-100,-100,0,-100,1,0,1,1,-1,0,-1,-1,1.007672,0.00281382,-1.847936E-05,-0.007667847,-1.192093E-07,-1.490116E-08,1,-0.04206861,-0.3426511,-0.04228463,0.9375674,0.005876541,0.2418783,14.2105,192.9404,112.249,145.5322,320.534,
2021-03-19T18:06:53.0729261+02:00,56.0756,101,101,0,0,0,2,1,0,0,100,-100,100,1,2,1,0,-1,1,-1,0,1.06658,-0.06607021,-0.1431382,-0.05486412,0,2.980232E-08,1,-0.03934286,-0.3433862,-0.03761448,0.9376157,-0.009241104,0.1947516,14.21286,192.9404,117.249,140.5322,315.534,
