time stamp,deltatime,stepcount_currentEP,totalstepcount,completedEpisodes,cumaltiveRewardInCurrentEP,wheelAction1,wheelAction2,wheelAction3,wheelAction4,wheeltorque1,wheeltorque2,wheeltorque3,wheeltorque4,legAction1,legAction2,legAction3,legAction4,legRotate1,legRotate2,legRotate3,legRotate4,velcoityToGoal,vehicleVelocity_x,vehicleVelocity_y,vehicleVelocity_z,goalVelocity_x,goalVelocity_y,goalVelocity_z,vehicleRotation_x,vehicleRotation_y,vehicleRotation_z,vehicleRotation_w,TargetRealtivePosition_x,TargetRealtivePosition_y,TargetRealtivePosition_z,legRotation_1,legRotation_2,legRotation_3,legRotation_4,
2021-03-19T18:12:31.8269310+02:00,83.8468,1,1,0,0,1,1,2,1,-100,-100,100,-100,2,0,1,2,1,0,-1,1,1,0,0,0,0,0,1,0,0.2669336,0,0.963715,-4.768372E-07,-0.1,11.6619,290.537,206.9799,97.95567,338.0877,
2021-03-19T18:12:31.8284186+02:00,374.4831,6,6,0,0,0,1,1,1,0,-100,-100,-100,2,1,1,1,1,-1,-1,-1,1.05999,0.01605083,-0.478324,0.05420498,-2.980232E-08,0,1,-0.004128249,0.2667891,0.005534622,0.9637302,0.002692223,0.03135692,11.66123,290.537,201.9799,102.9557,333.0877,
2021-03-19T18:12:31.8284186+02:00,22.8278,11,11,0,0,0,1,1,1,0,-100,-100,-100,0,1,1,0,0,-1,-1,0,1.392473,0.02584269,-1.027355,0.06039697,5.960464E-08,1.490116E-08,1,-0.0195416,0.2685637,0.01496406,0.9629475,0.006309509,0.08760181,11.65865,295.537,206.9799,107.9557,328.0877,
2021-03-19T18:12:31.8289180+02:00,46.6155,16,16,0,0,1,1,0,1,-100,-100,0,-100,0,2,1,0,0,1,-1,0,1.389593,0.1363682,-0.7598324,-0.1554343,0,3.72529E-09,1,-0.02392405,0.265071,0.008910622,0.9638909,-0.0132575,-0.1752014,11.66185,300.537,206.9799,107.9557,323.0877,
2021-03-19T18:12:31.8294093+02:00,31.7134,21,21,0,0,2,1,1,1,100,-100,-100,-100,0,1,1,0,0,-1,-1,0,1.170841,0.1625627,-0.2554353,-0.1310153,2.980232E-08,-1.676381E-08,1,-0.01300317,0.2618347,0.01004421,0.9649729,-0.02672815,0.1312695,11.67068,295.537,206.9799,107.9556,318.0877,
2021-03-19T18:12:31.8299071+02:00,57.0674,26,26,0,0,2,1,2,1,100,-100,100,-100,0,2,1,0,0,1,-1,0,1.164611,0.1762683,-0.1094212,-0.1459825,8.940697E-08,3.72529E-09,1,-0.008231072,0.2570435,0.00295723,0.9663603,-0.02784204,-0.03073071,11.67792,300.537,206.9799,107.9556,313.0877,
2021-03-19T18:12:31.8304033+02:00,65.4445,31,31,0,0,1,1,0,1,-100,-100,0,-100,0,2,0,0,0,1,0,0,1.208179,0.168421,-0.3844742,-0.1329207,1.490116E-07,-5.587935E-09,1,-0.003977483,0.2552555,0.002865511,0.9668612,-0.01112556,0.08414453,11.68817,295.537,206.9799,107.9557,308.0877,
2021-03-19T18:12:31.8308988+02:00,65.472,36,36,0,0,0,2,0,0,0,100,0,100,0,1,2,1,0,-1,1,-1,1.186506,0.2015811,-0.2469806,-0.1428744,-2.980232E-08,-9.313226E-09,1,-0.008648504,0.2515719,0.003248837,0.9677945,-0.01941395,0.01030192,11.69866,290.5369,206.9799,107.9557,308.0877,
2021-03-19T18:12:31.8308988+02:00,68.971,41,41,0,0,0,0,0,1,0,0,0,0,2,1,1,0,1,-1,-1,0,1.13908,0.1852811,-0.005420594,-0.1238972,2.980232E-08,2.793968E-09,1,-0.005548526,0.2485268,0.003188634,0.9686039,-0.01133823,0.05302595,11.70589,295.5369,211.9799,107.9557,313.0877,
2021-03-19T18:12:31.8313938+02:00,66.4368,46,46,0,0,1,1,1,2,-100,-100,-100,-100,2,1,1,1,1,-1,-1,-1,1.116382,0.14279,-0.005374683,-0.1071994,5.960464E-08,1.396984E-09,1,0.002708615,0.2470069,-0.002032772,0.9690078,-0.005176067,0.03977253,11.71187,300.5369,211.9799,112.9557,308.0877,
2021-03-19T18:12:31.8318929+02:00,65.5031,51,51,0,0,2,1,0,0,100,-100,0,-100,0,1,0,0,0,-1,0,0,1.158108,0.1341021,-0.007849582,-0.1502911,2.980232E-08,0,1,0.01015578,0.2459205,-0.006625231,0.9692141,-0.0179286,0.03325237,11.72008,305.5369,216.9799,117.9557,303.0877,
2021-03-19T18:12:31.8323865+02:00,64.9453,56,56,0,0,0,1,1,1,0,-100,-100,-100,2,1,0,1,1,-1,0,-1,1.247338,0.1601444,-0.0128773,-0.2369483,2.980232E-08,-1.862645E-09,1,0.01124421,0.2437905,-0.007222468,0.9697358,-0.02236986,0.02319747,11.73378,310.537,216.9799,117.9556,303.0877,
2021-03-19T18:12:31.8328828+02:00,66.4913,61,61,0,0,0,1,1,2,0,-100,-100,-100,1,2,2,2,-1,1,1,1,1.303161,0.1587031,-0.01779701,-0.2933382,2.980232E-08,-1.862645E-09,1,0.01006391,0.2400071,-0.006358566,0.9706982,0.0004839897,0.01730183,11.75152,315.537,221.9799,122.9556,303.0877,
