time stamp,deltatime,stepcount_currentEP,totalstepcount,completedEpisodes,cumaltiveRewardInCurrentEP,wheelAction1,wheelAction2,wheelAction3,wheelAction4,wheeltorque1,wheeltorque2,wheeltorque3,wheeltorque4,legAction1,legAction2,legAction3,legAction4,legRotate1,legRotate2,legRotate3,legRotate4,velcoityToGoal,vehicleVelocity_x,vehicleVelocity_y,vehicleVelocity_z,goalVelocity_x,goalVelocity_y,goalVelocity_z,vehicleRotation_x,vehicleRotation_y,vehicleRotation_z,vehicleRotation_w,TargetRealtivePosition_x,TargetRealtivePosition_y,TargetRealtivePosition_z,legRotation_1,legRotation_2,legRotation_3,legRotation_4,
2021-03-19T18:09:42.2472754+02:00,77.346,1,1,0,0,1,1,0,1,-100,-100,0,-100,2,0,1,0,1,0,-1,0,1,0,0,0,2.980232E-08,0,1,0,0.3826835,0,0.9238795,-9.536743E-07,-0.1,14.14214,196.6841,114.3488,272.0927,323.5608,
2021-03-19T18:09:42.2477714+02:00,518.8157,6,6,0,0,1,1,1,0,-100,-100,-100,-100,2,0,1,1,1,0,-1,-1,1.174317,2.10823E-08,-0.6156464,-1.621695E-09,8.940697E-08,8.881784E-15,1,1.853282E-08,0.3826836,-1.995841E-08,0.9238795,-4.768372E-07,-0.07504956,14.14213,196.6841,114.3488,277.0927,318.5608,
2021-03-19T18:09:42.2482673+02:00,22.844,11,11,0,0,1,1,2,0,-100,-100,100,-100,1,1,1,0,-1,-1,-1,0,1.465319,0.01447143,-1.07874,0.008399683,0,-1.396984E-09,1,-0.0001069409,0.3842428,0.004726729,0.92322,0.009217262,0.105759,14.14345,196.6841,119.3488,282.0927,313.5608,
2021-03-19T18:09:42.2482673+02:00,62.4956,16,16,0,0,2,0,1,1,100,0,-100,0,2,2,2,1,1,1,1,-1,1.740842,0.0133881,-1.477234,0.07905933,8.940697E-08,1.490116E-08,1,-0.01282749,0.3863836,0.02268135,0.9219701,0.01039028,0.3272882,14.14166,201.6841,119.3488,277.0927,308.5608,
2021-03-19T18:09:42.2487634+02:00,54.0608,21,21,0,0,0,0,1,0,0,0,-100,0,2,0,1,0,1,0,-1,0,2.005056,0.09230721,-1.788326,0.09799111,5.960464E-08,3.72529E-08,1,-0.03821357,0.3935684,0.05512613,0.916845,0.05834866,0.618897,14.13531,196.6841,124.3488,282.0927,313.5608,
2021-03-19T18:09:42.2492594+02:00,50.5972,26,26,0,0,1,1,1,1,-100,-100,-100,-100,2,2,1,0,1,1,-1,0,1.378471,0.5233768,-0.6013956,-0.1245369,5.960464E-08,4.470348E-08,1,-0.0476226,0.4082725,0.04480929,0.9105151,-0.02646017,0.1881078,14.15642,196.6841,124.3488,287.0927,308.5608,
2021-03-19T18:09:42.2497556+02:00,45.1066,31,31,0,0,0,1,0,1,0,-100,0,-100,1,2,1,2,-1,1,-1,1,1.249358,0.6617417,-0.3385816,-0.004169062,-2.980232E-08,-5.587935E-08,1,-0.01174812,0.4102147,0.01232452,0.91183,-0.01548862,0.2901467,14.15239,191.6841,124.3488,292.0927,303.5608,
2021-03-19T18:09:42.2497556+02:00,72.3885,36,36,0,0,2,2,1,0,100,100,-100,100,2,1,1,0,1,-1,-1,0,1.186253,0.3111308,-0.1948066,-0.128027,-1.192093E-07,-1.862645E-08,1,-0.02023875,0.416788,0.01564196,0.9086438,0.08004141,0.1797922,14.15873,186.6841,119.3488,287.0926,298.5608,
2021-03-19T18:09:42.2502514+02:00,72.4409,41,41,0,0,0,0,2,1,0,0,100,0,2,2,0,2,1,1,0,1,1.004929,0.05816269,-0.03353681,-0.002683443,2.086163E-07,6.332994E-08,1,-0.01627651,0.4239347,0.01549763,0.9054139,0.02943707,0.2735459,14.16064,191.684,119.3488,292.0926,293.5608,
2021-03-19T18:09:42.2507474+02:00,55.5546,46,46,0,0,0,1,0,1,0,-100,0,-100,0,2,1,0,0,1,-1,0,1.004834,0.01432935,-0.0007879236,-0.004731455,2.980232E-08,5.215406E-08,0.9999999,-0.02148507,0.426996,0.02469634,0.9036608,-0.001164436,0.3528889,14.15584,186.684,114.3488,297.0926,293.5608,
