time stamp,deltatime,stepcount_currentEP,totalstepcount,completedEpisodes,cumaltiveRewardInCurrentEP,wheelAction1,wheelAction2,wheelAction3,wheelAction4,wheeltorque1,wheeltorque2,wheeltorque3,wheeltorque4,legAction1,legAction2,legAction3,legAction4,legRotate1,legRotate2,legRotate3,legRotate4,velcoityToGoal,vehicleVelocity_x,vehicleVelocity_y,vehicleVelocity_z,goalVelocity_x,goalVelocity_y,goalVelocity_z,vehicleRotation_x,vehicleRotation_y,vehicleRotation_z,vehicleRotation_w,TargetRealtivePosition_x,TargetRealtivePosition_y,TargetRealtivePosition_z,legRotation_1,legRotation_2,legRotation_3,legRotation_4,
2021-03-19T18:09:40.8644277+02:00,84.2931,1,1,0,0,1,1,1,0,-100,-100,-100,-100,2,0,1,0,1,0,-1,0,1,0,0,0,0,0,1,0,0,0,1,0,-0.1,5,350.3314,252.5167,305.729,317.1155,
2021-03-19T18:09:40.8649237+02:00,518.3198,6,6,0,0,0,0,1,1,0,0,-100,0,0,1,0,0,0,-1,0,0,1.139517,-0.04733254,-0.4681793,-0.03781847,6.984919E-10,3.72529E-09,1,0.006362295,-0.0008898854,5.557816E-06,0.9999794,0.0003361087,-0.1105078,5.001351,350.3314,252.5167,310.729,312.1155,
2021-03-19T18:09:40.8649237+02:00,23.3399,11,11,0,0,0,1,1,1,0,-100,-100,-100,0,1,0,0,0,-1,0,0,1.299327,-0.1544315,-0.5990756,-0.1425891,0,3.72529E-09,1,0.01640764,0.002214129,9.085603E-06,0.999863,0.01106692,-0.03733255,5.009421,355.3314,252.5167,310.729,312.1155,
2021-03-19T18:09:40.8654195+02:00,61.9724,16,16,0,0,0,1,1,1,0,-100,-100,-100,0,1,0,0,0,-1,0,0,1.286161,-0.09587228,-0.02248022,-0.2823857,-1.862645E-09,9.313226E-10,1,0.007321111,0.008224038,-3.558518E-06,0.9999394,0.006386928,-0.02605559,5.024329,0.3313911,252.5168,310.729,312.1155,
2021-03-19T18:09:40.8659155+02:00,54.0637,21,21,0,0,1,1,1,1,-100,-100,-100,-100,0,1,0,0,0,-1,0,0,1.306673,-0.02751255,-0.03191525,-0.3059938,3.72529E-09,-1.862645E-09,1,0.007839149,0.01155542,-3.788497E-05,0.9999025,0.001968406,-0.03599141,5.043682,5.331393,252.5168,310.729,312.1155,
2021-03-19T18:09:40.8664116+02:00,50.5925,26,26,0,0,2,1,1,1,100,-100,-100,-100,0,1,1,0,0,-1,-1,0,1.434112,0.04257918,0.02301736,-0.4332953,1.862645E-09,1.862645E-09,1,0.01287026,0.01537662,-8.756921E-05,0.999799,0.001045018,-0.04646143,5.070455,10.33139,252.5168,310.729,312.1156,
2021-03-19T18:09:40.8664116+02:00,45.6316,31,31,0,0,1,2,1,1,-100,100,-100,100,0,1,0,0,0,-1,0,0,1.436628,0.05873206,-0.1648486,-0.4259298,-3.72529E-09,3.72529E-09,1,0.02160536,0.01543943,-0.0001104497,0.9996474,0.003874823,-0.0459751,5.099665,15.33139,252.5168,310.729,307.1155,
2021-03-19T18:09:40.8669075+02:00,72.9118,36,36,0,0,0,1,1,0,0,-100,-100,-100,0,1,2,2,0,-1,1,1,1.517149,0.08545804,-0.02067208,-0.5145994,-7.450581E-09,1.117587E-08,1,0.03074314,0.01916655,1.319753E-05,0.9993436,0.01257841,-0.02000055,5.131812,20.33139,252.5168,310.729,307.1155,
2021-03-19T18:09:40.8674035+02:00,71.927,41,41,0,0,0,0,1,1,0,0,-100,0,1,1,1,2,-1,-1,-1,1,1.51372,0.0455849,-0.09134693,-0.5102729,7.450581E-09,-3.72529E-09,1,0.01847625,0.02588874,0.0001945893,0.9994941,0.01345047,0.0119599,5.16566,25.33138,247.5168,310.729,312.1155,
2021-03-19T18:09:40.8674035+02:00,56.0685,46,46,0,0,1,1,1,2,-100,-100,-100,-100,1,2,1,2,-1,1,-1,1,1.559664,0.01188603,-0.3010954,-0.530278,7.450581E-09,0,0.9999999,0.009488908,0.03165841,8.30224E-05,0.9994537,0.01355052,0.004953742,5.201321,30.33138,242.5168,305.729,307.1155,
2021-03-19T18:09:40.8678997+02:00,60.9801,51,51,0,0,1,1,1,1,-100,-100,-100,-100,0,1,0,0,0,-1,0,0,1.585303,-0.02592863,-0.1687617,-0.5760818,1.490116E-08,-5.587935E-09,1,0.01270935,0.03761692,-7.950008E-05,0.9992114,0.02002287,-0.01284806,5.238074,25.33138,237.5168,300.729,302.1155,
2021-03-19T18:09:40.8683956+02:00,71.4244,56,56,0,0,0,1,1,1,0,-100,-100,-100,1,2,0,2,-1,1,0,1,1.74176,0.03138326,-0.07852975,-0.7397062,-7.450581E-09,1.862645E-09,0.9999999,0.01306343,0.04756754,7.747721E-05,0.9987826,0.019344,0.01379935,5.283623,30.33139,237.5168,300.729,302.1155,
2021-03-19T18:09:40.8688915+02:00,73.4077,61,61,0,0,0,1,1,2,0,-100,-100,-100,1,2,2,2,-1,1,1,1,1.744784,0.0172454,-0.1059636,-0.7414782,-7.450581E-09,1.862645E-09,1,0.008705372,0.05549468,0.0004315363,0.998421,0.01111269,0.0476271,5.333115,25.3314,232.5168,295.729,302.1155,
2021-03-19T18:09:40.8693879+02:00,71.4239,66,66,0,0,1,1,1,0,-100,-100,-100,-100,2,2,1,2,1,1,-1,1,1.790315,-0.04535161,-0.1571734,-0.7828252,-2.235174E-08,-3.72529E-09,1,-0.0220161,0.057215,0.0008089007,0.9981188,-0.000733614,0.07837382,5.385176,20.33139,227.5168,290.729,307.1155,
2021-03-19T18:09:40.8693879+02:00,51.5954,71,71,0,0,1,0,1,1,-100,0,-100,0,2,1,0,2,1,-1,0,1,1.836486,-0.08940871,0.004000157,-0.8343045,-2.980232E-08,-7.450581E-09,1,-0.04114491,0.05998101,-0.0003022832,0.9973512,0.0273698,-0.004559517,5.440689,15.33139,222.5168,295.729,302.1155,
2021-03-19T18:09:40.8699118+02:00,72.4297,76,76,0,0,1,0,0,1,-100,0,0,0,1,2,2,2,-1,1,1,1,1.841579,0.04508818,-0.02994481,-0.8407836,-2.980232E-08,-7.450581E-09,1,-0.02881658,0.07181068,-0.0004405267,0.9970018,0.02186769,-0.02316773,5.496938,20.33139,217.5168,300.729,302.1155,
2021-03-19T18:09:40.8704069+02:00,72.4185,81,81,0,0,1,0,0,1,-100,0,0,0,2,1,0,2,1,-1,0,1,1.808156,0.1120286,0.06262,-0.8035951,0,3.72529E-09,0.9999999,-0.01628913,0.08306464,2.5446E-05,0.996411,0.02004981,-0.000169158,5.551353,15.33138,212.5168,295.7291,307.1155,
2021-03-19T18:09:40.8709058+02:00,70.9002,86,86,0,0,1,1,1,2,-100,-100,-100,-100,1,2,2,2,-1,1,1,1,1.78499,0.2211081,0.0452012,-0.7706655,0,-1.862645E-09,1,-0.008348104,0.09346824,-0.0006453569,0.9955871,0.02425468,-0.0421049,5.603396,20.33138,207.5168,300.729,307.1155,
